id,vendor_name,vendor_code,invoice_number,invoice_date,due_date,amount,paid_amount,balance,category,payment_terms,status,currency,description,created_at
1,AAR Corp,V-AAR941,AP-70001,2023-01-01,2023-01-31,2617634.89,101806.9,2515827.99,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-01-01 11:30:00
2,Amadeus,V-AMA488,AP-70002,2023-01-01,2023-01-31,1081159.99,413893.13,667266.86,Distribution,Net 30,Overdue,USD,Distribution services from Amadeus,2023-01-01 11:30:00
3,Chevron Aviation,V-CHE958,AP-70003,2023-01-02,2023-01-17,7531956.59,1760088.35,5771868.24,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2023-01-02 11:30:00
4,ConEdison,V-CON551,AP-70004,2023-01-02,2023-02-01,346248.26,111077.3,235170.96,General Admin,Net 30,Overdue,USD,General Admin services from ConEdison,2023-01-02 11:30:00
5,Los Angeles LAX,V-LOS944,AP-70005,2023-01-02,2023-01-17,1794069.03,780764.28,1013304.75,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Los Angeles LAX,2023-01-02 11:30:00
6,AAR Corp,V-AAR941,AP-70006,2023-01-03,2023-02-02,2107476.43,51695.59,2055780.84,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-01-03 11:30:00
7,AerCap,V-AER832,AP-70007,2023-01-03,2023-02-02,3022650.37,214705.48,2807944.89,Lease Expense,Net 30,Overdue,USD,Lease Expense services from AerCap,2023-01-03 11:30:00
8,CBRE,V-CBR654,AP-70008,2023-01-03,2023-02-02,255293.89,17241.82,238052.07,General Admin,Net 30,Overdue,USD,General Admin services from CBRE,2023-01-03 11:30:00
9,Dallas/Fort Worth DFW,V-DAL794,AP-70009,2023-01-04,2023-01-19,2023688.35,383632.28,1640056.07,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Dallas/Fort Worth DFW,2023-01-04 11:30:00
10,GE Aerospace Services,V-GEA951,AP-70010,2023-01-04,2023-02-03,1685284.97,189885.99,1495398.98,Maintenance,Net 30,Overdue,USD,Maintenance services from GE Aerospace Services,2023-01-04 11:30:00
11,Avolon,V-AVO530,AP-70011,2023-01-05,2023-02-04,2867867.28,275455.28,2592412.0,Lease Expense,Net 30,Overdue,USD,Lease Expense services from Avolon,2023-01-05 11:30:00
12,CBRE,V-CBR654,AP-70012,2023-01-06,2023-02-05,299960.79,92991.83,206968.96,General Admin,Net 30,Overdue,USD,General Admin services from CBRE,2023-01-06 11:30:00
13,Chevron Aviation,V-CHE958,AP-70013,2023-01-06,2023-01-21,5748459.03,1794753.96,3953705.07,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2023-01-06 11:30:00
14,Visa Merchant Services,V-VIS840,AP-70014,2023-01-06,2023-02-05,578230.63,173853.6,404377.03,Distribution,Net 30,Overdue,USD,Distribution services from Visa Merchant Services,2023-01-06 11:30:00
15,Delta TechOps,V-DEL976,AP-70015,2023-01-08,2023-02-07,2576691.93,1026077.44,1550614.49,Maintenance,Net 30,Overdue,USD,Maintenance services from Delta TechOps,2023-01-08 11:30:00
16,GE Aerospace Services,V-GEA951,AP-70016,2023-01-08,2023-02-07,1770418.52,742369.33,1028049.19,Maintenance,Net 30,Overdue,USD,Maintenance services from GE Aerospace Services,2023-01-08 11:30:00
17,World Fuel Services,V-WOR909,AP-70017,2023-01-08,2023-01-23,10057707.49,2241817.87,7815889.62,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-01-08 11:30:00
18,Mastercard Merchant Services,V-MAS103,AP-70018,2023-01-09,2023-02-08,566625.07,68571.93,498053.14,Distribution,Net 30,Overdue,USD,Distribution services from Mastercard Merchant Services,2023-01-09 11:30:00
19,World Fuel Services,V-WOR909,AP-70019,2023-01-09,2023-01-24,9190417.85,2453245.23,6737172.62,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-01-09 11:30:00
20,American Express Merchant,V-AME382,AP-70020,2023-01-10,2023-02-09,594993.71,13003.78,581989.93,Distribution,Net 30,Overdue,USD,Distribution services from American Express Merchant,2023-01-10 11:30:00
21,Mastercard Merchant Services,V-MAS103,AP-70021,2023-01-11,2023-02-10,559100.13,47463.68,511636.45,Distribution,Net 30,Overdue,USD,Distribution services from Mastercard Merchant Services,2023-01-11 11:30:00
22,JLL,V-JLL158,AP-70022,2023-01-12,2023-02-11,204657.44,63449.83,141207.61,General Admin,Net 30,Overdue,USD,General Admin services from JLL,2023-01-12 11:30:00
23,Chevron Aviation,V-CHE958,AP-70023,2023-01-13,2023-01-28,11792018.62,3907088.21,7884930.41,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2023-01-13 11:30:00
24,Chicago ORD,V-CHI855,AP-70024,2023-01-13,2023-01-28,2295722.08,826399.85,1469322.23,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Chicago ORD,2023-01-13 11:30:00
25,JLL,V-JLL158,AP-70025,2023-01-13,2023-02-12,383940.75,60051.85,323888.9,General Admin,Net 30,Overdue,USD,General Admin services from JLL,2023-01-13 11:30:00
26,Mastercard Merchant Services,V-MAS103,AP-70026,2023-01-13,2023-02-12,715108.14,214466.12,500642.02,Distribution,Net 30,Overdue,USD,Distribution services from Mastercard Merchant Services,2023-01-13 11:30:00
