id,customer_name,customer_code,invoice_number,invoice_date,due_date,amount,received_amount,balance,category,payment_terms,status,currency,description,created_at
1,Sony Music Touring,C-SON493,AR-50001,2023-01-01,2023-01-31,1226070.18,294023.42,932046.76,Cargo Services,Net 30,Overdue,USD,Cargo Services - Sony Music Touring,2023-01-01 10:45:00
2,Marriott Meeting Services,C-MAR321,AR-50002,2023-01-02,2023-02-01,314537.67,104804.82,209732.85,Loyalty Partnerships,Net 30,Overdue,USD,Loyalty Partnerships - Marriott Meeting Services,2023-01-02 10:45:00
3,Shell Corporate Travel,C-SHE535,AR-50003,2023-01-02,2023-02-01,743160.35,6622.71,736537.64,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Shell Corporate Travel,2023-01-02 10:45:00
4,BCD Travel,C-BCD303,AR-50004,2023-01-02,2023-02-01,1144028.83,182169.79,961859.04,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - BCD Travel,2023-01-02 10:45:00
5,Maersk Air Cargo,C-MAE973,AR-50005,2023-01-04,2023-02-03,914076.15,57748.12,856328.03,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Maersk Air Cargo,2023-01-04 10:45:00
6,NFL Events & Hospitality,C-NFL601,AR-50006,2023-01-04,2023-01-19,751330.1,299431.21,451898.89,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - NFL Events & Hospitality,2023-01-04 10:45:00
7,DHL Express,C-DHL723,AR-50007,2023-01-05,2023-02-04,2165718.64,216317.88,1949400.76,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - DHL Express,2023-01-05 10:45:00
8,Amazon Air Logistics,C-AMA673,AR-50008,2023-01-06,2023-02-05,2155163.08,276957.59,1878205.49,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Amazon Air Logistics,2023-01-06 10:45:00
9,Disney Corporate Events,C-DIS143,AR-50009,2023-01-06,2023-01-21,2020879.99,298908.93,1721971.06,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - Disney Corporate Events,2023-01-06 10:45:00
10,UPS Supply Chain Solutions,C-UPS130,AR-50010,2023-01-07,2023-02-06,1059986.5,256018.85,803967.65,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - UPS Supply Chain Solutions,2023-01-07 10:45:00
11,Lufthansa Cargo Partner,C-LUF662,AR-50011,2023-01-09,2023-02-23,247996.68,27056.88,220939.8,Interline Billing,Net 45,Overdue,USD,Interline Billing - Lufthansa Cargo Partner,2023-01-09 10:45:00
12,Live Nation Entertainment,C-LIV838,AR-50012,2023-01-11,2023-01-26,1072818.18,389858.14,682960.04,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - Live Nation Entertainment,2023-01-11 10:45:00
13,Walmart Corporate Travel,C-WAL198,AR-50013,2023-01-11,2023-02-10,544109.26,85022.49,459086.77,Cargo Services,Net 30,Overdue,USD,Cargo Services - Walmart Corporate Travel,2023-01-11 10:45:00
