id,date,fuel_oil,salaries_flight_crew,salaries_ground_staff,maintenance_repair,airport_landing_fees,aircraft_lease_rent,distribution_sales,catering_inflight,insurance_safety,depreciation_amort,other_operating,total_operating_cost,casm,created_at
1,2023-01-01,14852077.81,6344220.69,5275975.67,4382400.79,2822285.28,3340353.68,1754137.71,1179508.07,878718.75,2075999.88,636530.5,43542208.83,8.1621,2023-01-01 18:05:00
2,2023-01-02,12840400.61,4928646.96,4815461.02,3657671.45,2489273.83,2708022.44,1394905.27,990493.47,599012.0,1754844.8,783402.44,36962134.29,7.6423,2023-01-02 18:05:00
3,2023-01-03,13842391.85,5962029.51,4681491.29,3810296.43,2665666.98,3044766.8,1438237.55,1038962.31,695278.52,1958741.51,611028.89,39748891.64,7.9375,2023-01-03 18:05:00
4,2023-01-04,14480608.43,6189269.84,5185183.66,3882828.94,2757630.03,2908863.98,1551345.35,1044299.43,816587.8,1901867.51,792179.6,41510664.57,8.3198,2023-01-04 18:05:00
5,2023-01-05,13343180.63,5155620.07,4418329.68,3520937.68,2467356.24,2832901.79,1472934.57,948425.19,664067.61,1712185.42,709094.55,37245033.43,7.9799,2023-01-05 18:05:00
6,2023-01-06,14219527.86,5706039.4,5827597.24,4006884.41,2801399.71,3153508.65,1493188.71,1156983.14,808751.38,1864026.59,733180.3,41771087.39,8.2588,2023-01-06 18:05:00
7,2023-01-07,15380911.03,6393644.94,5669712.95,4438708.3,3091853.46,3296649.97,1564171.51,1135282.95,824452.53,1996273.38,729204.89,44520865.91,8.184,2023-01-07 18:05:00
8,2023-01-08,15677037.86,5880244.72,5413300.74,4402090.78,2773537.82,3169474.72,1798478.05,1226973.03,778034.54,1845226.82,748590.46,43712989.54,8.2889,2023-01-08 18:05:00
9,2023-01-09,13309453.38,5928989.59,4860964.43,4004017.45,2991732.33,2765093.38,1430572.07,1052051.97,697880.52,1855181.47,709973.42,39605910.01,7.8813,2023-01-09 18:05:00
10,2023-01-10,13730593.49,5471127.69,4755952.65,3826113.71,2658677.35,2870897.98,1511190.88,1098485.77,604363.82,1702394.3,661847.59,38891645.23,8.0925,2023-01-10 18:05:00
11,2023-01-11,13386016.48,5927723.36,4712050.12,3895036.03,2793925.65,2873175.55,1463131.18,1086841.4,682922.84,1844575.65,516801.41,39182199.67,7.8122,2023-01-11 18:05:00
12,2023-01-12,13708813.84,5451260.84,4755101.9,3839237.91,2607740.53,3046184.64,1482279.02,1111761.77,714300.11,1801368.33,500046.36,39018095.25,7.6376,2023-01-12 18:05:00
13,2023-01-13,15420071.62,6334535.38,5984237.1,4024527.3,3117737.93,3252503.95,1832217.22,1157436.32,806817.78,2047511.05,895609.03,44873204.68,8.4502,2023-01-13 18:05:00
14,2023-01-14,16309163.64,7269211.78,5911044.0,4712393.19,3317088.93,3674514.12,1830595.37,1331880.98,999227.12,2215158.79,541121.39,48111399.31,8.5289,2023-01-14 18:05:00
15,2023-01-15,16032090.97,6609345.6,5334174.45,4521528.11,3324468.02,3368662.97,1740737.12,1312982.57,851426.18,2252857.81,804904.45,46153178.25,8.4909,2023-01-15 18:05:00
16,2023-01-16,14107366.8,5877251.14,4823643.24,3808043.89,2744345.76,3087658.38,1520218.52,984672.78,755559.63,1945181.66,660145.44,40314087.24,8.1753,2023-01-16 18:05:00
17,2023-01-17,14661865.7,6355144.08,5554000.91,4081363.37,3126290.44,2977244.35,1571037.18,1264356.77,817346.93,1950240.3,729571.31,43088461.34,8.5835,2023-01-17 18:05:00
18,2023-01-18,14345604.13,5535101.74,4894979.71,3913262.91,2498528.64,3146844.9,1443665.24,1211117.63,731141.44,1752718.96,562266.38,40035231.68,8.3803,2023-01-18 18:05:00
19,2023-01-19,15023230.42,5735049.81,5246724.56,3933347.99,3009024.83,3144269.68,1555271.26,1198033.95,749990.33,1997553.3,739971.14,42332467.27,8.2086,2023-01-19 18:05:00
20,2023-01-20,15779367.99,6115796.63,5971022.9,4314507.74,3108713.76,3141335.04,1891206.32,1277247.63,806553.61,2003266.72,780876.76,45189895.1,8.485,2023-01-20 18:05:00
21,2023-01-21,15195097.13,6614352.29,5462272.23,4758846.38,2927567.05,3312527.52,1789681.71,1257175.42,790654.8,1953615.83,1010463.73,45072254.09,8.2542,2023-01-21 18:05:00
22,2023-01-22,14543865.88,6299817.09,5583179.66,3955520.81,3241259.06,3163324.69,1614884.92,1140024.76,797232.71,2023964.08,739818.98,43102892.64,8.1578,2023-01-22 18:05:00
