id,date,total_revenue,total_operating_cost,gross_profit,non_operating_income,non_operating_expense,pre_tax_income,tax_provision,net_income,operating_margin,net_margin,ebitda,created_at
1,2023-01-01,49073830.52,43542208.83,5531621.69,214043.37,311726.04,5433939.02,1331315.06,4102623.96,11.27,8.36,7607621.57,2023-01-01 18:10:00
2,2023-01-02,41397468.67,36962134.29,4435334.38,148705.65,102383.49,4481656.54,1098005.85,3383650.69,10.71,8.17,6190179.18,2023-01-02 18:10:00
3,2023-01-03,43527589.16,39748891.64,3778697.52,244359.25,202667.85,3820388.92,935995.29,2884393.63,8.68,6.63,5737439.03,2023-01-03 18:10:00
4,2023-01-04,45743412.9,41510664.57,4232748.33,225866.94,319216.32,4139398.95,1014152.74,3125246.21,9.25,6.83,6134615.84,2023-01-04 18:10:00
5,2023-01-05,41578524.97,37245033.43,4333491.54,57317.26,348402.06,4042406.74,990389.65,3052017.09,10.42,7.34,6045676.96,2023-01-05 18:10:00
6,2023-01-06,46622590.32,41771087.39,4851502.93,152047.77,498807.27,4504743.43,1103662.14,3401081.29,10.41,7.29,6715529.52,2023-01-06 18:10:00
7,2023-01-07,49509309.24,44520865.91,4988443.33,187095.31,254650.74,4920887.9,1205617.54,3715270.36,10.08,7.5,6984716.71,2023-01-07 18:10:00
8,2023-01-08,48649056.6,43712989.54,4936067.06,204243.48,207719.35,4932591.19,1208484.84,3724106.35,10.15,7.66,6781293.88,2023-01-08 18:10:00
9,2023-01-09,43976616.03,39605910.01,4370706.02,277312.91,309796.22,4338222.71,1062864.56,3275358.15,9.94,7.45,6225887.49,2023-01-09 18:10:00
10,2023-01-10,43539920.94,38891645.23,4648275.71,348319.37,424076.11,4572518.97,1120267.15,3452251.82,10.68,7.93,6350670.01,2023-01-10 18:10:00
11,2023-01-11,43551285.01,39182199.67,4369085.34,43551.29,394813.72,4017822.91,984366.61,3033456.3,10.03,6.97,6213660.99,2023-01-11 18:10:00
12,2023-01-12,44005082.24,39018095.25,4986986.99,218116.01,172933.0,5032170.0,1232881.65,3799288.35,11.33,8.63,6788355.32,2023-01-12 18:10:00
13,2023-01-13,49706415.59,44873204.68,4833210.91,228867.18,284270.08,4777808.01,1170562.96,3607245.05,9.72,7.26,6880721.96,2023-01-13 18:10:00
14,2023-01-14,54112139.45,48111399.31,6000740.14,228854.59,416703.22,5812891.51,1424158.42,4388733.09,11.09,8.11,8215898.93,2023-01-14 18:10:00
15,2023-01-15,52295827.97,46153178.25,6142649.72,277921.44,409969.08,6010602.08,1472597.51,4538004.57,11.75,8.68,8395507.53,2023-01-15 18:10:00
16,2023-01-16,45433134.65,40314087.24,5119047.41,214657.16,326379.09,5007325.48,1226794.74,3780530.74,11.27,8.32,7064229.07,2023-01-16 18:10:00
17,2023-01-17,47617167.98,43088461.34,4528706.64,188461.56,242966.73,4474201.47,1096179.36,3378022.11,9.51,7.09,6478946.94,2023-01-17 18:10:00
18,2023-01-18,44203100.34,40035231.68,4167868.66,200852.88,316756.34,4051965.2,992731.47,3059233.73,9.43,6.92,5920587.62,2023-01-18 18:10:00
19,2023-01-19,47127852.2,42332467.27,4795384.93,251420.02,370363.73,4676441.22,1145728.1,3530713.12,10.18,7.49,6792938.23,2023-01-19 18:10:00
20,2023-01-20,50666694.14,45189895.1,5476799.04,263071.96,209555.41,5530315.59,1354927.32,4175388.27,10.81,8.24,7480065.76,2023-01-20 18:10:00
21,2023-01-21,50523186.57,45072254.09,5450932.48,241649.8,437554.63,5255027.65,1287481.77,3967545.88,10.79,7.85,7404548.31,2023-01-21 18:10:00
22,2023-01-22,48481055.94,43102892.64,5378163.3,175735.52,387068.82,5166830.0,1265873.35,3900956.65,11.09,8.05,7402127.38,2023-01-22 18:10:00
23,2023-01-23,47265849.08,43741113.04,3524736.04,378126.79,213456.21,3689406.62,903904.62,2785502.0,7.46,5.89,5549025.29,2023-01-23 18:10:00
24,2023-01-24,46522613.82,40437552.68,6085061.14,234440.01,365194.13,5954307.02,1458805.22,4495501.8,13.08,9.66,7964219.87,2023-01-24 18:10:00
25,2023-01-25,45101678.21,39909130.76,5192547.45,254540.11,343955.65,5103131.91,1250267.32,3852864.59,11.51,8.54,7069082.9,2023-01-25 18:10:00
26,2023-01-26,46128749.33,40897444.66,5231304.67,172442.93,355297.71,5048449.89,1236870.22,3811579.67,11.34,8.26,7093821.62,2023-01-26 18:10:00
27,2023-01-27,52337564.65,47649234.22,4688330.43,250401.78,478990.57,4459741.64,1092636.7,3367104.94,8.96,6.43,6890851.64,2023-01-27 18:10:00
28,2023-01-28,53355521.95,48177362.16,5178159.79,254634.54,319016.74,5113777.59,1252875.51,3860902.08,9.71,7.24,7453375.01,2023-01-28 18:10:00
29,2023-01-29,51960913.74,46820863.15,5140050.59,84804.12,346217.78,4878636.93,1195266.05,3683370.88,9.89,7.09,7249959.98,2023-01-29 18:10:00
30,2023-01-30,46805653.0,41716974.34,5088678.66,160309.78,93611.31,5155377.13,1263067.4,3892309.73,10.87,8.32,6935563.98,2023-01-30 18:10:00
31,2023-01-31,51310799.36,45762373.74,5548425.62,174317.41,422372.31,5300370.72,1298590.83,4001779.89,10.81,7.8,7540026.29,2023-01-31 18:10:00
32,2023-02-01,45546794.11,40876578.23,4670215.88,163937.25,366158.55,4467994.58,1094658.67,3373335.91,10.25,7.41,6600877.65,2023-02-01 18:10:00
33,2023-02-02,44040123.16,39309240.13,4730883.03,127506.78,383680.57,4474709.24,1096303.76,3378405.48,10.74,7.67,6461446.29,2023-02-02 18:10:00
34,2023-02-03,47131602.4,41845261.05,5286341.35,215192.72,194495.12,5307038.95,1300224.54,4006814.41,11.22,8.5,7245038.2,2023-02-03 18:10:00
35,2023-02-04,52108970.99,46807463.08,5301507.91,343712.75,412916.22,5232304.44,1281914.59,3950389.85,10.17,7.58,7498740.54,2023-02-04 18:10:00
36,2023-02-05,52489244.29,47187690.76,5301553.53,246475.48,421882.23,5126146.78,1255905.96,3870240.82,10.1,7.37,7414143.11,2023-02-05 18:10:00
37,2023-02-06,47244613.11,41905835.78,5338777.33,128887.76,221963.07,5245702.02,1285196.99,3960505.03,11.3,8.38,7264027.62,2023-02-06 18:10:00
38,2023-02-07,46863941.71,42395461.26,4468480.45,138419.41,380156.96,4226742.9,1035552.01,3191190.89,9.54,6.81,6460130.73,2023-02-07 18:10:00
39,2023-02-08,45603951.04,40811258.69,4792692.35,179425.25,315856.68,4656260.92,1140783.93,3515476.99,10.51,7.71,6607169.1,2023-02-08 18:10:00
40,2023-02-09,49138288.5,44185143.58,4953144.92,116781.58,127954.95,4941971.55,1210783.03,3731188.52,10.08,7.59,6900762.24,2023-02-09 18:10:00
41,2023-02-10,51845910.7,46129740.32,5716170.38,256983.88,371681.35,5601472.91,1372360.86,4229112.05,11.03,8.16,7823624.38,2023-02-10 18:10:00
42,2023-02-11,52693068.98,47805884.04,4887184.94,344067.21,235305.45,4995946.7,1224006.94,3771939.76,9.27,7.16,7148606.48,2023-02-11 18:10:00
43,2023-02-12,50789963.83,45147415.09,5642548.74,184679.61,134498.74,5692729.61,1394718.75,4298010.86,11.11,8.46,7847650.72,2023-02-12 18:10:00
44,2023-02-13,47777031.89,42418416.86,5358615.03,220452.82,321687.85,5257380.0,1288058.1,3969321.9,11.22,8.31,7310394.0,2023-02-13 18:10:00
45,2023-02-14,46639211.31,40946260.37,5692950.94,179866.87,273741.32,5599076.49,1371773.74,4227302.75,12.21,9.06,7555339.42,2023-02-14 18:10:00
46,2023-02-15,44337203.91,39552572.21,4784631.7,157643.51,390505.56,4551769.65,1115183.56,3436586.09,10.79,7.75,6673226.86,2023-02-15 18:10:00
47,2023-02-16,47604091.4,43045340.38,4558751.02,227755.31,302925.7,4483580.63,1098477.25,3385103.38,9.58,7.11,6391320.82,2023-02-16 18:10:00
48,2023-02-17,50545790.25,45087315.11,5458475.14,177165.11,381976.49,5253663.76,1287147.62,3966516.14,10.8,7.85,7549626.07,2023-02-17 18:10:00
49,2023-02-18,52905388.18,46693546.63,6211841.55,173921.14,371269.84,6014492.85,1473550.75,4540942.1,11.74,8.58,8377477.57,2023-02-18 18:10:00
50,2023-02-19,53138987.51,46109405.16,7029582.35,110054.19,427339.21,6712297.33,1644512.85,5067784.48,13.23,9.54,9311409.89,2023-02-19 18:10:00
51,2023-02-20,48187705.01,43447446.55,4740258.46,221513.21,203698.36,4758073.31,1165727.96,3592345.35,9.84,7.45,6816788.48,2023-02-20 18:10:00
52,2023-02-21,45855971.45,40842662.62,5013308.83,279745.0,293344.01,4999709.82,1224928.91,3774780.91,10.93,8.23,6828572.82,2023-02-21 18:10:00
53,2023-02-22,44870472.66,39659031.49,5211441.17,249523.05,256593.06,5204371.16,1275070.93,3929300.23,11.61,8.76,7062416.24,2023-02-22 18:10:00
54,2023-02-23,49168044.89,43986730.33,5181314.56,331293.79,359288.94,5153319.41,1262563.26,3890756.15,10.54,7.91,7155121.15,2023-02-23 18:10:00
55,2023-02-24,52960299.64,47762583.56,5197716.08,184737.54,344857.67,5037595.95,1234211.01,3803384.94,9.81,7.18,7345786.31,2023-02-24 18:10:00
56,2023-02-25,53559133.08,47990770.41,5568362.67,309369.02,255580.13,5622151.56,1377427.13,4244724.43,10.4,7.93,7813887.26,2023-02-25 18:10:00
57,2023-02-26,51110803.14,44285476.3,6825326.84,145463.96,272120.71,6698670.09,1641174.17,5057495.92,13.35,9.9,8895194.71,2023-02-26 18:10:00
58,2023-02-27,48225274.7,41265004.24,6960270.46,268320.03,448350.64,6780239.85,1661158.76,5119081.09,14.43,10.61,8951534.89,2023-02-27 18:10:00
59,2023-02-28,47027212.76,42485884.65,4541328.11,327604.77,122802.06,4746130.82,1162802.05,3583328.77,9.66,7.62,6536970.6,2023-02-28 18:10:00
60,2023-03-01,51291176.96,44859271.62,6431905.34,269154.16,380515.36,6320544.14,1548533.31,4772010.83,12.54,9.3,8651415.24,2023-03-01 18:10:00
61,2023-03-02,48419840.55,43716835.67,4703004.88,338586.26,410740.31,4630850.83,1134558.45,3496292.38,9.71,7.22,6709185.11,2023-03-02 18:10:00
62,2023-03-03,54926948.88,48900540.9,6026407.98,197841.49,393149.21,5831100.26,1428619.56,4402480.7,10.97,8.02,8288115.63,2023-03-03 18:10:00
63,2023-03-04,55769098.25,49853199.58,5915898.67,239732.02,554457.3,5601173.39,1372287.48,4228885.91,10.61,7.58,8109802.84,2023-03-04 18:10:00
64,2023-03-05,56405670.9,49895693.19,6509977.71,176350.89,444309.23,6242019.37,1529294.75,4712724.62,11.54,8.36,8956782.26,2023-03-05 18:10:00
65,2023-03-06,53010639.72,47340691.91,5669947.81,241314.23,358789.13,5552472.91,1360355.86,4192117.05,10.7,7.91,7882800.18,2023-03-06 18:10:00
66,2023-03-07,50910121.2,44165879.11,6744242.09,249689.24,257938.21,6735993.12,1650318.31,5085674.81,13.25,9.99,8841959.92,2023-03-07 18:10:00
67,2023-03-08,49001117.55,42850502.52,6150615.03,222418.65,333469.02,6039564.66,1479693.34,4559871.32,12.55,9.31,8165912.11,2023-03-08 18:10:00
68,2023-03-09,46877879.05,42082035.65,4795843.4,177610.51,345178.88,4628275.03,1133927.38,3494347.65,10.23,7.45,6743196.45,2023-03-09 18:10:00
69,2023-03-10,55043618.41,47306251.1,7737367.31,207180.13,330647.06,7613900.38,1865405.59,5748494.79,14.06,10.44,10057878.88,2023-03-10 18:10:00
70,2023-03-11,55674759.22,49554589.78,6120169.44,279362.35,251335.17,6148196.62,1506308.17,4641888.45,10.99,8.34,8477623.91,2023-03-11 18:10:00
71,2023-03-12,53869379.14,47222259.48,6647119.66,229541.17,193474.82,6683186.01,1637380.57,5045805.44,12.34,9.37,8985923.55,2023-03-12 18:10:00
72,2023-03-13,51742812.04,45232994.83,6509817.21,143446.36,329643.82,6323619.75,1549286.84,4774332.91,12.58,9.23,8650108.58,2023-03-13 18:10:00
73,2023-03-14,47737989.75,42995785.04,4742204.71,78962.02,145093.3,4676073.43,1145637.99,3530435.44,9.93,7.4,6825075.35,2023-03-14 18:10:00
74,2023-03-15,48049019.24,41823592.91,6225426.33,173301.63,242979.79,6155748.17,1508158.3,4647589.87,12.96,9.67,8271669.97,2023-03-15 18:10:00
75,2023-03-16,50491914.07,43619388.95,6872525.12,122523.52,100983.83,6894064.81,1689045.88,5205018.93,13.61,10.31,8938139.37,2023-03-16 18:10:00
76,2023-03-17,54087571.52,47950870.26,6136701.26,175603.14,414637.33,5897667.07,1444928.43,4452738.64,11.35,8.23,8219015.4,2023-03-17 18:10:00
77,2023-03-18,56049476.89,49350211.14,6699265.75,216633.59,465664.29,6450235.05,1580307.59,4869927.46,11.95,8.69,9004487.88,2023-03-18 18:10:00
78,2023-03-19,53022035.64,46059978.04,6962057.6,226979.45,326504.19,6862532.86,1681320.55,5181212.31,13.13,9.77,9259911.56,2023-03-19 18:10:00
79,2023-03-20,51732225.47,44774562.1,6957663.37,181114.07,499884.26,6638893.18,1626528.83,5012364.35,13.45,9.69,9018525.48,2023-03-20 18:10:00
80,2023-03-21,48021861.77,42190693.71,5831168.06,373936.71,417539.21,5787565.56,1417953.56,4369612.0,12.14,9.1,7806004.41,2023-03-21 18:10:00
81,2023-03-22,49674896.29,44282700.39,5392195.9,129569.29,345715.99,5176049.2,1268132.05,3907917.15,10.85,7.87,7441177.5,2023-03-22 18:10:00
82,2023-03-23,50543290.94,44942441.92,5600849.02,319121.17,291815.29,5628154.9,1378897.95,4249256.95,11.08,8.41,7744551.22,2023-03-23 18:10:00
83,2023-03-24,54834116.6,48774261.57,6059855.03,233382.11,290686.83,6002550.31,1470624.83,4531925.48,11.05,8.26,8276155.86,2023-03-24 18:10:00
84,2023-03-25,53355966.05,46240947.46,7115018.59,187477.41,380160.31,6922335.69,1695972.24,5226363.45,13.34,9.8,9233032.98,2023-03-25 18:10:00
85,2023-03-26,52189160.76,45561830.31,6627330.45,280848.87,298393.94,6609785.38,1619397.42,4990387.96,12.7,9.56,8811707.94,2023-03-26 18:10:00
86,2023-03-27,52250755.45,45454135.66,6796619.79,199633.61,370795.42,6625457.98,1623237.21,5002220.77,13.01,9.57,8880636.96,2023-03-27 18:10:00
87,2023-03-28,48044893.47,41937495.47,6107398.0,158046.22,348080.8,5917363.42,1449754.04,4467609.38,12.71,9.3,7944958.64,2023-03-28 18:10:00
88,2023-03-29,48547232.09,41606975.9,6940256.19,348798.02,268992.52,7020061.69,1719915.11,5300146.58,14.3,10.92,9064710.15,2023-03-29 18:10:00
89,2023-03-30,51217499.95,44506560.42,6710939.53,61886.61,419551.82,6353274.32,1556552.21,4796722.11,13.1,9.37,8882077.32,2023-03-30 18:10:00
90,2023-03-31,54131431.63,46212729.51,7918702.12,223708.39,300044.98,7842365.53,1921379.55,5920985.98,14.63,10.94,10291016.53,2023-03-31 18:10:00
91,2023-04-01,55796583.86,48491681.88,7304901.98,266992.65,337160.74,7234733.89,1772509.8,5462224.09,13.09,9.79,9665712.31,2023-04-01 18:10:00
92,2023-04-02,55741064.68,48067010.57,7674054.11,368561.8,225469.86,7817146.05,1915200.78,5901945.27,13.77,10.59,10016324.16,2023-04-02 18:10:00
93,2023-04-03,51827237.42,44813861.6,7013375.82,202248.21,282912.79,6932711.24,1698514.25,5234196.99,13.53,10.1,9167020.57,2023-04-03 18:10:00
94,2023-04-04,50653804.89,44368226.55,6285578.34,405230.44,522564.76,6168244.02,1511219.78,4657024.24,12.41,9.19,8348249.78,2023-04-04 18:10:00
95,2023-04-05,50328542.8,43986859.71,6341683.09,283786.48,211340.97,6414128.6,1571461.51,4842667.09,12.6,9.62,8443813.71,2023-04-05 18:10:00
96,2023-04-06,48326911.8,41501871.7,6825040.1,48326.91,332268.04,6541098.97,1602569.25,4938529.72,14.12,10.22,8766339.46,2023-04-06 18:10:00
97,2023-04-07,52741507.12,44373005.04,8368502.08,122332.66,268507.95,8222326.79,2014470.06,6207856.73,15.87,11.77,10446314.74,2023-04-07 18:10:00
98,2023-04-08,55094006.96,48227261.1,6866745.86,267503.5,110188.01,7024061.35,1720895.03,5303166.32,12.46,9.63,9098144.67,2023-04-08 18:10:00
99,2023-04-09,58091090.68,49901253.76,8189836.92,161737.25,413488.95,7938085.22,1944830.88,5993254.34,14.1,10.32,10684107.93,2023-04-09 18:10:00
100,2023-04-10,50875297.24,42970031.56,7905265.68,270745.61,248665.81,7927345.48,1942199.64,5985145.84,15.54,11.76,9897104.28,2023-04-10 18:10:00
101,2023-04-11,46911542.39,39646329.88,7265212.51,179174.19,311402.69,7132984.01,1747581.08,5385402.93,15.49,11.48,9102982.74,2023-04-11 18:10:00
102,2023-04-12,49924514.91,43189281.82,6735233.09,135093.76,398369.57,6471957.28,1585629.53,4886327.75,13.49,9.79,8826419.44,2023-04-12 18:10:00
103,2023-04-13,50874265.99,43479061.99,7395204.0,155325.03,329115.64,7221413.39,1769246.28,5452167.11,14.54,10.72,9449373.67,2023-04-13 18:10:00
104,2023-04-14,53459688.76,46296463.45,7163225.31,308883.15,355859.64,7116248.82,1743480.96,5372767.86,13.4,10.05,9394004.17,2023-04-14 18:10:00
105,2023-04-15,52752445.18,45693595.11,7058850.07,77312.38,224942.76,6911219.69,1693248.82,5217970.87,13.38,9.89,9300026.42,2023-04-15 18:10:00
106,2023-04-16,52611556.76,44480152.83,8131403.93,319242.31,390043.71,8060602.53,1974847.62,6085754.91,15.46,11.57,10324900.67,2023-04-16 18:10:00
107,2023-04-17,49403206.08,43117401.2,6285804.88,301942.78,277677.24,6310070.42,1545967.25,4764103.17,12.72,9.64,8264483.89,2023-04-17 18:10:00
108,2023-04-18,49004388.19,42920374.95,6084013.24,196159.17,98162.79,6182009.62,1514592.36,4667417.26,12.42,9.52,8187497.24,2023-04-18 18:10:00
109,2023-04-19,48705263.4,41383962.79,7321300.61,116568.06,372813.9,7065054.77,1730938.42,5334116.35,15.03,10.95,9372434.33,2023-04-19 18:10:00
110,2023-04-20,45386130.59,38828054.06,6558076.53,242080.38,375160.2,6424996.71,1574124.19,4850872.52,14.45,10.69,8420734.3,2023-04-20 18:10:00
111,2023-04-21,52610575.37,45514022.02,7096553.35,198366.12,471508.86,6823410.61,1671735.6,5151675.01,13.49,9.79,9251883.71,2023-04-21 18:10:00
112,2023-04-22,53547388.66,47153860.39,6393528.27,119267.36,553768.14,5959027.49,1459961.74,4499065.75,11.94,8.4,8619010.69,2023-04-22 18:10:00
113,2023-04-23,55235285.36,47397534.74,7837750.62,406736.64,416864.52,7827622.74,1917767.57,5909855.17,14.19,10.7,10076548.56,2023-04-23 18:10:00
114,2023-04-24,49606103.09,41489553.29,8116549.8,157419.02,348628.93,7925339.89,1941708.27,5983631.62,16.36,12.06,10029023.46,2023-04-24 18:10:00
115,2023-04-25,48844654.36,41640702.1,7203952.26,111940.89,399700.47,6916192.68,1694467.21,5221725.47,14.75,10.69,9261544.88,2023-04-25 18:10:00
116,2023-04-26,47573189.87,40462861.82,7110328.05,234420.52,201044.76,7143703.81,1750207.43,5393496.38,14.95,11.34,9110120.11,2023-04-26 18:10:00
117,2023-04-27,47535870.75,40733213.71,6802657.04,209073.64,126258.18,6885472.5,1686940.76,5198531.74,14.31,10.94,8587552.98,2023-04-27 18:10:00
118,2023-04-28,52006023.26,44899246.21,7106777.05,349963.23,262421.48,7194318.8,1762608.11,5431710.69,13.67,10.44,9278861.36,2023-04-28 18:10:00
