id,date,passenger_mainline,passenger_regional,cargo_mail,ancillary_bags,ancillary_seats,ancillary_wifi,ancillary_other,loyalty_program,contract_carrier,total_revenue,load_factor,rasm,asm,rpm,created_at
1,2023-01-01,30242171.26,7486004.02,2495844.53,2747684.42,2065196.25,785634.15,742403.26,993435.16,1515457.47,49073830.52,83.0,9.199,533469542,442816130,2023-01-01 18:00:00
2,2023-01-02,26174355.85,5913816.49,2267700.66,1764201.25,1443643.51,732705.78,588123.72,1179742.82,1333178.59,41397468.67,79.3,8.5593,483652249,383618427,2023-01-02 18:00:00
3,2023-01-03,27909584.59,6134377.27,2371589.45,1924924.03,1680521.87,732058.33,393281.1,1093504.99,1287747.53,43527589.16,80.0,8.6921,500772031,400635095,2023-01-03 18:00:00
4,2023-01-04,27626207.69,7179689.95,2636647.95,2483492.79,1374117.71,879568.29,748900.2,1495452.99,1319335.33,45743412.9,80.4,9.1682,498937357,401329114,2023-01-04 18:00:00
5,2023-01-05,25927715.48,5748755.57,2520823.21,1698514.64,1513153.45,704916.8,613037.26,1398292.45,1453316.11,41578524.97,80.4,8.9083,466738433,375320972,2023-01-05 18:00:00
6,2023-01-06,29561504.22,6716913.01,2518184.23,2380647.82,1625601.22,650766.1,508065.38,1485752.09,1175156.25,46622590.32,82.4,9.2181,505773712,416782716,2023-01-06 18:00:00
7,2023-01-07,30987790.16,7160041.09,2728404.9,2684190.83,1759391.05,659491.6,584087.24,1388490.45,1557421.92,49509309.24,82.5,9.101,543998413,448778165,2023-01-07 18:00:00
8,2023-01-08,30667781.22,7397877.96,2233147.59,2734236.93,1656085.94,646879.42,703055.72,1256150.03,1353841.79,48649056.6,82.5,9.2249,527367042,435137965,2023-01-08 18:00:00
9,2023-01-09,27696341.21,6266366.33,2179176.48,2314938.28,1598168.22,843959.67,684629.65,1182968.76,1210067.43,43976616.03,78.2,8.7511,502528481,392876705,2023-01-09 18:00:00
10,2023-01-10,27095512.44,6037305.1,2228425.33,2204014.9,1741099.69,633871.95,543214.86,1509577.96,1546898.71,43539920.94,80.4,9.0597,480591499,386616345,2023-01-10 18:00:00
11,2023-01-11,27327907.15,5977800.21,2316132.94,2553675.65,1613550.72,797984.27,691453.48,1162502.2,1110278.39,43551285.01,78.1,8.6833,501551091,391639162,2023-01-11 18:00:00
12,2023-01-12,28680368.28,6096092.26,1918229.81,2519629.41,1293054.82,818718.34,425299.25,981500.23,1272189.84,44005082.24,78.9,8.6138,510867849,402899533,2023-01-12 18:00:00
