id,period,period_start,period_end,passenger_revenue,cargo_revenue,ancillary_revenue,loyalty_revenue,other_revenue,total_revenue,fuel_expense,labor_expense,maintenance_expense,airport_expense,lease_expense,distribution_expense,catering_expense,insurance_expense,depreciation_expense,other_expense,total_expenses,operating_income,interest_expense,interest_income,fuel_hedging_gain_loss,pre_tax_income,income_tax,net_income,created_at
1,2023-01-01,2023-01-01,2023-01-01,37728175.28,2495844.53,6340918.08,993435.16,1515457.47,49073830.52,14852077.81,11620196.36,4382400.79,2822285.28,3340353.68,1754137.71,1179508.07,878718.75,2075999.88,636530.5,43542208.83,5531621.69,213189.32,136350.27,-47366.27,5407416.37,1324817.01,4082599.36,2023-01-01 18:15:00
2,2023-01-02,2023-01-02,2023-01-02,32088172.34,2267700.66,4528674.26,1179742.82,1333178.59,41397468.67,12840400.61,9744107.98,3657671.45,2489273.83,2708022.44,1394905.27,990493.47,599012.0,1754844.8,783402.44,36962134.29,4435334.38,73748.24,103591.35,40046.52,4505224.01,1103779.88,3401444.13,2023-01-02 18:15:00
3,2023-01-03,2023-01-03,2023-01-03,34043961.86,2371589.45,4730785.33,1093504.99,1287747.53,43527589.16,13842391.85,10643520.8,3810296.43,2665666.98,3044766.8,1438237.55,1038962.31,695278.52,1958741.51,611028.89,39748891.64,3778697.52,144057.21,154755.96,17038.73,3806435.0,932576.58,2873858.42,2023-01-03 18:15:00
4,2023-01-04,2023-01-04,2023-01-04,34805897.64,2636647.95,5486078.99,1495452.99,1319335.33,45743412.9,14480608.43,11374453.5,3882828.94,2757630.03,2908863.98,1551345.35,1044299.43,816587.8,1901867.51,792179.6,41510664.57,4232748.33,232884.56,168824.75,96278.93,4264967.45,1044917.03,3220050.42,2023-01-04 18:15:00
5,2023-01-05,2023-01-05,2023-01-05,31676471.05,2520823.21,4529622.15,1398292.45,1453316.11,41578524.97,13343180.63,9573949.75,3520937.68,2467356.24,2832901.79,1472934.57,948425.19,664067.61,1712185.42,709094.55,37245033.43,4333491.54,226275.73,43191.72,22201.25,4172608.78,1022289.15,3150319.63,2023-01-05 18:15:00
6,2023-01-06,2023-01-06,2023-01-06,36278417.23,2518184.23,5165080.52,1485752.09,1175156.25,46622590.32,14219527.86,11533636.64,4006884.41,2801399.71,3153508.65,1493188.71,1156983.14,808751.38,1864026.59,733180.3,41771087.39,4851502.93,359706.01,98806.82,-65581.65,4525022.09,1108630.41,3416391.68,2023-01-06 18:15:00
7,2023-01-07,2023-01-07,2023-01-07,38147831.25,2728404.9,5687160.72,1388490.45,1557421.92,49509309.24,15380911.03,12063357.89,4438708.3,3091853.46,3296649.97,1564171.51,1135282.95,824452.53,1996273.38,729204.89,44520865.91,4988443.33,199425.31,124262.68,46379.79,4959660.49,1215116.82,3744543.67,2023-01-07 18:15:00
8,2023-01-08,2023-01-08,2023-01-08,38065659.18,2233147.59,5740258.01,1256150.03,1353841.79,48649056.6,15677037.86,11293545.46,4402090.78,2773537.82,3169474.72,1798478.05,1226973.03,778034.54,1845226.82,748590.46,43712989.54,4936067.06,159362.79,138650.69,74166.43,4989521.39,1222432.74,3767088.65,2023-01-08 18:15:00
9,2023-01-09,2023-01-09,2023-01-09,33962707.54,2179176.48,5441695.82,1182968.76,1210067.43,43976616.03,13309453.38,10789954.02,4004017.45,2991732.33,2765093.38,1430572.07,1052051.97,697880.52,1855181.47,709973.42,39605910.01,4370706.02,223409.57,193682.02,-80014.39,4260964.08,1043936.2,3217027.88,2023-01-09 18:15:00
10,2023-01-10,2023-01-10,2023-01-10,33132817.54,2228425.33,5122201.4,1509577.96,1546898.71,43539920.94,13730593.49,10227080.34,3826113.71,2658677.35,2870897.98,1511190.88,1098485.77,604363.82,1702394.3,661847.59,38891645.23,4648275.71,359667.81,248296.81,27225.16,4564129.87,1118211.82,3445918.05,2023-01-10 18:15:00
