id,transaction_id,transaction_type,booking_date,service_date,recognition_date,gross_amount,recognized_amount,deferred_amount,recognition_method,performance_obligation,status,flight_number,route,notes,created_at
1,TXN-100001,Ticket,2023-02-28,2023-03-11,2023-03-11,540.37,540.37,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK163,IAD-DEN,ASC 606 - Ticket revenue for IAD-DEN,2023-03-11 10:00:00
2,TXN-100002,Ancillary,2024-08-03,2024-09-04,2024-09-04,100.19,0.0,100.19,Point-in-time (service delivery),Ancillary service obligation,Deferred,SK564,MSP-BOS,ASC 606 - Ancillary revenue for MSP-BOS,2024-08-03 12:15:00
3,TXN-100003,Ticket,2025-03-26,2025-04-20,2025-04-20,1713.48,1713.48,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK133,SEA-DEN,ASC 606 - Ticket revenue for SEA-DEN,2025-04-20 12:15:00
4,TXN-100004,Ticket,2023-03-19,2023-04-14,2023-04-14,257.67,257.67,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK186,ATL-LAX,ASC 606 - Ticket revenue for ATL-LAX,2023-04-14 10:00:00
5,TXN-100005,Ticket,2023-05-20,2023-06-21,2023-06-21,1318.5,1318.5,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK711,DFW-CUN,ASC 606 - Ticket revenue for DFW-CUN,2023-06-21 10:00:00
6,TXN-100006,Ticket,2025-07-22,2025-08-01,2025-08-01,977.78,977.78,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK213,MSP-BOS,ASC 606 - Ticket revenue for MSP-BOS,2025-08-01 10:00:00
7,TXN-100007,Ticket,2023-10-30,2023-11-26,2023-11-26,494.76,494.76,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK402,ATL-LAX,ASC 606 - Ticket revenue for ATL-LAX,2023-11-26 12:15:00
8,TXN-100008,Cargo,2023-01-01,2023-01-19,2023-01-19,15422.99,15422.99,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK654,LAS-SEA,ASC 606 - Cargo revenue for LAS-SEA,2023-01-19 10:00:00
9,TXN-100009,Ticket,2023-04-17,2023-07-31,2023-07-31,916.09,0.0,916.09,Point-in-time (flight departure),Air transportation service,Deferred,SK775,SFO-NRT,ASC 606 - Ticket revenue for SFO-NRT,2023-04-17 08:30:00
10,TXN-100010,Ticket,2025-09-10,2025-10-24,2025-10-24,1516.12,1516.12,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK256,PHX-ORD,ASC 606 - Ticket revenue for PHX-ORD,2025-10-24 10:00:00
11,TXN-100011,Ticket,2025-09-28,2025-10-28,2025-10-28,691.49,691.49,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK118,LAS-SEA,ASC 606 - Ticket revenue for LAS-SEA,2025-10-28 08:30:00
12,TXN-100012,Cargo,2023-06-29,2023-07-17,2023-07-17,12622.32,12622.32,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK326,DFW-SFO,ASC 606 - Cargo revenue for DFW-SFO,2023-07-17 12:15:00
13,TXN-100013,Ticket,2023-11-01,2023-11-07,2023-11-07,547.66,547.66,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK591,MIA-DFW,ASC 606 - Ticket revenue for MIA-DFW,2023-11-07 08:30:00
14,TXN-100014,Ancillary,2023-07-19,2023-09-08,2023-09-08,61.98,0.0,61.98,Point-in-time (service delivery),Ancillary service obligation,Deferred,SK318,LAS-SEA,ASC 606 - Ancillary revenue for LAS-SEA,2023-07-19 10:00:00
15,TXN-100015,Ticket,2024-06-17,2024-07-05,2024-07-05,354.26,354.26,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK576,PDX-LAS,ASC 606 - Ticket revenue for PDX-LAS,2024-07-05 12:15:00
16,TXN-100016,Ticket,2025-06-14,2025-06-29,2025-06-29,341.15,341.15,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK174,LAX-JFK,ASC 606 - Ticket revenue for LAX-JFK,2025-06-29 10:00:00
17,TXN-100017,Ticket,2025-04-04,2025-05-06,2025-05-06,366.39,366.39,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK100,PDX-LAS,ASC 606 - Ticket revenue for PDX-LAS,2025-05-06 12:15:00
18,TXN-100018,Ticket,2024-02-24,2024-03-09,2024-03-09,439.44,439.44,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK426,MSP-BOS,ASC 606 - Ticket revenue for MSP-BOS,2024-03-09 12:15:00
19,TXN-100019,Cargo,2025-01-24,2025-02-11,2025-02-11,17562.43,17562.43,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK737,ORD-MIA,ASC 606 - Cargo revenue for ORD-MIA,2025-02-11 08:30:00
20,TXN-100020,Ticket,2023-10-05,2023-10-18,2023-10-18,798.56,798.56,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK485,PHX-ORD,ASC 606 - Ticket revenue for PHX-ORD,2023-10-18 10:00:00
21,TXN-100021,Ticket,2025-09-13,2025-10-10,2025-10-10,255.99,255.99,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK375,JFK-LHR,ASC 606 - Ticket revenue for JFK-LHR,2025-10-10 12:15:00
22,TXN-100022,Cargo,2024-10-09,2024-10-12,2024-10-12,15807.95,15807.95,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK414,BOS-ATL,ASC 606 - Cargo revenue for BOS-ATL,2024-10-12 12:15:00
23,TXN-100023,Ancillary,2025-09-22,2025-11-16,2025-11-16,106.29,0.0,106.29,Point-in-time (service delivery),Ancillary service obligation,Deferred,SK220,PDX-LAS,ASC 606 - Ancillary revenue for PDX-LAS,2025-09-22 12:15:00
24,TXN-100024,Ticket,2023-10-04,2023-10-19,2023-10-19,979.79,0.0,979.79,Point-in-time (flight departure),Air transportation service,Deferred,SK107,PHX-ORD,ASC 606 - Ticket revenue for PHX-ORD,2023-10-04 10:00:00
25,TXN-100025,Ticket,2025-10-27,2025-11-25,2025-11-25,329.0,329.0,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK711,PDX-LAS,ASC 606 - Ticket revenue for PDX-LAS,2025-11-25 10:00:00
26,TXN-100026,Ticket,2023-11-07,2023-12-16,2023-12-16,394.01,394.01,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK525,SAN-ORD,ASC 606 - Ticket revenue for SAN-ORD,2023-12-16 10:00:00
27,TXN-100027,Cargo,2025-01-12,2025-01-30,2025-01-30,22688.22,22688.22,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK345,MIA-DFW,ASC 606 - Cargo revenue for MIA-DFW,2025-01-30 10:00:00
28,TXN-100028,Ticket,2023-02-19,2023-03-26,2023-03-26,654.47,654.47,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK679,SEA-DEN,ASC 606 - Ticket revenue for SEA-DEN,2023-03-26 12:15:00
29,TXN-100029,Ticket,2023-09-08,2023-09-23,2023-09-23,623.92,623.92,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK762,MIA-DFW,ASC 606 - Ticket revenue for MIA-DFW,2023-09-23 10:00:00
30,TXN-100030,Ticket,2024-08-08,2024-08-18,2024-08-18,1271.75,1271.75,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK462,MCO-LGA,ASC 606 - Ticket revenue for MCO-LGA,2024-08-18 12:15:00
31,TXN-100031,Cargo,2024-07-01,2024-07-24,2024-07-24,47375.16,47375.16,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK749,IAD-DEN,ASC 606 - Cargo revenue for IAD-DEN,2024-07-24 12:15:00
32,TXN-100032,Ticket,2023-05-21,2023-05-23,2023-05-23,427.52,427.52,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK433,IAD-DEN,ASC 606 - Ticket revenue for IAD-DEN,2023-05-23 08:30:00
33,TXN-100033,Ticket,2023-01-11,2023-01-12,2023-01-12,297.3,297.3,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK704,AUS-LAX,ASC 606 - Ticket revenue for AUS-LAX,2023-01-12 10:00:00
34,TXN-100034,Cargo,2025-06-27,2025-07-02,2025-07-02,17986.53,17986.53,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK677,JFK-SFO,ASC 606 - Cargo revenue for JFK-SFO,2025-07-02 10:00:00
35,TXN-100035,Ticket,2023-09-23,2024-01-19,2024-01-19,852.56,0.0,852.56,Point-in-time (flight departure),Air transportation service,Deferred,SK599,ORD-MIA,ASC 606 - Ticket revenue for ORD-MIA,2023-09-23 10:00:00
36,TXN-100036,Ticket,2025-03-25,2025-04-12,2025-04-12,1025.57,1025.57,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK682,SFO-NRT,ASC 606 - Ticket revenue for SFO-NRT,2025-04-12 10:00:00
37,TXN-100037,Ticket,2023-07-07,2023-08-07,2023-08-07,535.66,535.66,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK302,ORD-SFO,ASC 606 - Ticket revenue for ORD-SFO,2023-08-07 10:00:00
38,TXN-100038,Ticket,2023-11-06,2023-12-08,2023-12-08,465.75,465.75,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK685,JFK-LHR,ASC 606 - Ticket revenue for JFK-LHR,2023-12-08 08:30:00
39,TXN-100039,Ticket,2023-01-19,2023-01-19,2023-01-19,751.66,751.66,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK841,MIA-DFW,ASC 606 - Ticket revenue for MIA-DFW,2023-01-19 12:15:00
40,TXN-100040,Cargo,2024-08-02,2024-08-11,2024-08-11,16687.74,0.0,16687.74,Point-in-time (delivery at destination),Cargo transport to destination,Deferred,SK199,MIA-DFW,ASC 606 - Cargo revenue for MIA-DFW,2024-08-02 10:00:00
41,TXN-100041,Ticket,2024-07-14,2024-07-26,2024-07-26,640.12,640.12,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK300,JFK-SFO,ASC 606 - Ticket revenue for JFK-SFO,2024-07-26 12:15:00
42,TXN-100042,Ticket,2024-09-18,2024-10-27,2024-10-27,800.64,800.64,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK472,IAH-LAX,ASC 606 - Ticket revenue for IAH-LAX,2024-10-27 12:15:00
43,TXN-100043,Ticket,2025-03-23,2025-04-19,2025-04-19,585.41,585.41,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK337,IAD-DEN,ASC 606 - Ticket revenue for IAD-DEN,2025-04-19 12:15:00
44,TXN-100044,Ticket,2024-12-24,2025-01-24,2025-01-24,349.35,349.35,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK997,SFO-SEA,ASC 606 - Ticket revenue for SFO-SEA,2025-01-24 08:30:00
45,TXN-100045,Ticket,2023-08-08,2023-09-15,2023-09-15,470.86,470.86,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK226,SFO-NRT,ASC 606 - Ticket revenue for SFO-NRT,2023-09-15 10:00:00
46,TXN-100046,Ancillary,2024-03-30,2024-05-28,2024-05-28,67.78,0.0,67.78,Point-in-time (service delivery),Ancillary service obligation,Deferred,SK581,DFW-SFO,ASC 606 - Ancillary revenue for DFW-SFO,2024-03-30 12:15:00
47,TXN-100047,Ticket,2023-03-24,2023-06-25,2023-06-25,482.55,0.0,482.55,Point-in-time (flight departure),Air transportation service,Deferred,SK564,NRT-LAX,ASC 606 - Ticket revenue for NRT-LAX,2023-03-24 10:00:00
48,TXN-100048,Ticket,2024-12-08,2025-01-22,2025-01-22,279.59,279.59,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK761,ATL-LAX,ASC 606 - Ticket revenue for ATL-LAX,2025-01-22 08:30:00
49,TXN-100049,Ticket,2024-03-06,2024-04-22,2024-04-22,1450.38,0.0,1450.38,Point-in-time (flight departure),Air transportation service,Deferred,SK727,CLT-MCO,ASC 606 - Ticket revenue for CLT-MCO,2024-03-06 08:30:00
50,TXN-100050,Ticket,2023-07-03,2023-07-13,2023-07-13,392.72,392.72,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK480,IAH-LAX,ASC 606 - Ticket revenue for IAH-LAX,2023-07-13 10:00:00
51,TXN-100051,Ticket,2025-08-10,2025-09-08,2025-09-08,875.6,875.6,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK776,MCO-LGA,ASC 606 - Ticket revenue for MCO-LGA,2025-09-08 10:00:00
52,TXN-100052,Cargo,2024-05-26,2024-06-02,2024-06-02,12259.01,0.0,12259.01,Point-in-time (delivery at destination),Cargo transport to destination,Deferred,SK157,JFK-LHR,ASC 606 - Cargo revenue for JFK-LHR,2024-05-26 12:15:00
53,TXN-100053,Ancillary,2023-02-27,2023-03-29,2023-03-29,74.38,0.0,74.38,Point-in-time (service delivery),Ancillary service obligation,Deferred,SK499,PHX-ORD,ASC 606 - Ancillary revenue for PHX-ORD,2023-02-27 10:00:00
54,TXN-100054,Ancillary,2023-04-12,2023-04-12,2023-04-12,86.56,86.56,0.0,Point-in-time (service delivery),Ancillary service obligation,Recognized,SK122,JFK-LHR,ASC 606 - Ancillary revenue for JFK-LHR,2023-04-12 08:30:00
55,TXN-100055,Ticket,2023-11-13,2024-02-28,2024-02-28,492.96,0.0,492.96,Point-in-time (flight departure),Air transportation service,Deferred,SK260,ATL-LAX,ASC 606 - Ticket revenue for ATL-LAX,2023-11-13 08:30:00
56,TXN-100056,Cargo,2025-10-18,2025-10-20,2025-10-20,41799.95,41799.95,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK458,MIA-DFW,ASC 606 - Cargo revenue for MIA-DFW,2025-10-20 12:15:00
57,TXN-100057,Cargo,2023-04-17,2023-05-06,2023-05-06,114155.38,114155.38,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK901,PDX-LAS,ASC 606 - Cargo revenue for PDX-LAS,2023-05-06 08:30:00
58,TXN-100058,Ticket,2024-03-11,2024-05-03,2024-05-03,290.7,0.0,290.7,Point-in-time (flight departure),Air transportation service,Deferred,SK347,ORD-SFO,ASC 606 - Ticket revenue for ORD-SFO,2024-03-11 12:15:00
59,TXN-100059,Ticket,2024-03-07,2024-06-09,2024-06-09,993.23,0.0,993.23,Point-in-time (flight departure),Air transportation service,Deferred,SK917,MSP-BOS,ASC 606 - Ticket revenue for MSP-BOS,2024-03-07 12:15:00
60,TXN-100060,Ancillary,2024-10-31,2024-11-20,2024-11-20,91.96,91.96,0.0,Point-in-time (service delivery),Ancillary service obligation,Recognized,SK942,MIA-DFW,ASC 606 - Ancillary revenue for MIA-DFW,2024-11-20 08:30:00
61,TXN-100061,Ancillary,2024-10-11,2024-10-21,2024-10-21,75.84,75.84,0.0,Point-in-time (service delivery),Ancillary service obligation,Recognized,SK807,PHX-ORD,ASC 606 - Ancillary revenue for PHX-ORD,2024-10-21 12:15:00
62,TXN-100062,Ticket,2024-06-15,2024-07-23,2024-07-23,912.6,0.0,912.6,Point-in-time (flight departure),Air transportation service,Deferred,SK646,LHR-JFK,ASC 606 - Ticket revenue for LHR-JFK,2024-06-15 10:00:00
63,TXN-100063,Ticket,2025-05-25,2025-07-30,2025-07-30,1038.56,0.0,1038.56,Point-in-time (flight departure),Air transportation service,Deferred,SK692,DFW-CUN,ASC 606 - Ticket revenue for DFW-CUN,2025-05-25 10:00:00
64,TXN-100064,Ticket,2023-01-30,2023-02-17,2023-02-17,605.26,605.26,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK840,PHX-ORD,ASC 606 - Ticket revenue for PHX-ORD,2023-02-17 08:30:00
65,TXN-100065,Ticket,2024-03-02,2024-04-12,2024-04-12,1131.02,1131.02,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK973,LAX-JFK,ASC 606 - Ticket revenue for LAX-JFK,2024-04-12 12:15:00
66,TXN-100066,Cargo,2023-03-10,2023-04-01,2023-04-01,6610.4,6610.4,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK596,ORD-SFO,ASC 606 - Cargo revenue for ORD-SFO,2023-04-01 12:15:00
67,TXN-100067,Ticket,2023-11-23,2023-12-30,2023-12-30,849.99,849.99,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK197,MSP-BOS,ASC 606 - Ticket revenue for MSP-BOS,2023-12-30 12:15:00
68,TXN-100068,Ticket,2023-10-15,2023-11-26,2023-11-26,640.92,640.92,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK206,MCO-LGA,ASC 606 - Ticket revenue for MCO-LGA,2023-11-26 10:00:00
69,TXN-100069,Ticket,2025-08-16,2025-08-16,2025-08-16,695.76,695.76,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK334,ORD-MIA,ASC 606 - Ticket revenue for ORD-MIA,2025-08-16 10:00:00
70,TXN-100070,Ticket,2025-01-02,2025-01-09,2025-01-09,982.41,982.41,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK725,SEA-DEN,ASC 606 - Ticket revenue for SEA-DEN,2025-01-09 10:00:00
71,TXN-100071,Cargo,2023-09-18,2023-09-23,2023-09-23,25589.83,0.0,25589.83,Point-in-time (delivery at destination),Cargo transport to destination,Deferred,SK933,IAH-LAX,ASC 606 - Cargo revenue for IAH-LAX,2023-09-18 12:15:00
72,TXN-100072,Cargo,2024-11-26,2024-12-04,2024-12-04,53209.7,53209.7,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK157,SEA-DEN,ASC 606 - Cargo revenue for SEA-DEN,2024-12-04 12:15:00
73,TXN-100073,Ticket,2025-06-22,2025-08-10,2025-08-10,1617.99,0.0,1617.99,Point-in-time (flight departure),Air transportation service,Deferred,SK857,ORD-MIA,ASC 606 - Ticket revenue for ORD-MIA,2025-06-22 08:30:00
74,TXN-100074,Ticket,2023-07-23,2023-10-09,2023-10-09,583.64,0.0,583.64,Point-in-time (flight departure),Air transportation service,Deferred,SK163,CLT-MCO,ASC 606 - Ticket revenue for CLT-MCO,2023-07-23 08:30:00
75,TXN-100075,Ticket,2024-09-04,2024-09-26,2024-09-26,371.96,371.96,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK939,PHX-ORD,ASC 606 - Ticket revenue for PHX-ORD,2024-09-26 08:30:00
76,TXN-100076,Cargo,2024-06-14,2024-07-06,2024-07-06,18749.39,18749.39,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK451,LAX-JFK,ASC 606 - Cargo revenue for LAX-JFK,2024-07-06 12:15:00
77,TXN-100077,Cargo,2025-09-18,2025-10-01,2025-10-01,11725.62,0.0,11725.62,Point-in-time (delivery at destination),Cargo transport to destination,Deferred,SK439,JFK-SFO,ASC 606 - Cargo revenue for JFK-SFO,2025-09-18 08:30:00
78,TXN-100078,Ticket,2024-02-03,2024-03-15,2024-03-15,522.11,522.11,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK138,ORD-SFO,ASC 606 - Ticket revenue for ORD-SFO,2024-03-15 12:15:00
79,TXN-100079,Ticket,2025-01-06,2025-02-04,2025-02-04,667.45,667.45,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK946,LAX-JFK,ASC 606 - Ticket revenue for LAX-JFK,2025-02-04 08:30:00
80,TXN-100080,Ticket,2024-09-08,2024-10-05,2024-10-05,326.34,326.34,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK235,DFW-CUN,ASC 606 - Ticket revenue for DFW-CUN,2024-10-05 12:15:00
81,TXN-100081,Cargo,2023-12-17,2024-01-01,2024-01-01,24796.59,24796.59,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK961,LAX-JFK,ASC 606 - Cargo revenue for LAX-JFK,2024-01-01 12:15:00
82,TXN-100082,Ticket,2023-12-30,2024-01-19,2024-01-19,258.68,258.68,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK331,PDX-LAS,ASC 606 - Ticket revenue for PDX-LAS,2024-01-19 12:15:00
83,TXN-100083,Ticket,2025-07-24,2025-09-03,2025-09-03,606.36,606.36,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK967,DEN-ATL,ASC 606 - Ticket revenue for DEN-ATL,2025-09-03 08:30:00
84,TXN-100084,Ancillary,2025-08-30,2025-09-20,2025-09-20,65.05,0.0,65.05,Point-in-time (service delivery),Ancillary service obligation,Deferred,SK299,MSP-BOS,ASC 606 - Ancillary revenue for MSP-BOS,2025-08-30 10:00:00
85,TXN-100085,Ticket,2023-10-10,2023-10-26,2023-10-26,229.48,229.48,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK559,DFW-SFO,ASC 606 - Ticket revenue for DFW-SFO,2023-10-26 08:30:00
86,TXN-100086,Ticket,2024-05-27,2024-05-29,2024-05-29,966.57,966.57,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK539,JFK-LHR,ASC 606 - Ticket revenue for JFK-LHR,2024-05-29 10:00:00
87,TXN-100087,Ticket,2023-06-04,2023-06-25,2023-06-25,1042.24,1042.24,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK809,ATL-LAX,ASC 606 - Ticket revenue for ATL-LAX,2023-06-25 08:30:00
88,TXN-100088,Ticket,2024-04-07,2024-05-03,2024-05-03,987.33,987.33,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK266,BOS-ATL,ASC 606 - Ticket revenue for BOS-ATL,2024-05-03 10:00:00
89,TXN-100089,Ticket,2025-07-30,2025-08-16,2025-08-16,425.74,425.74,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK678,NRT-LAX,ASC 606 - Ticket revenue for NRT-LAX,2025-08-16 12:15:00
90,TXN-100090,Ticket,2025-02-02,2025-02-03,2025-02-03,754.54,754.54,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK836,MSP-BOS,ASC 606 - Ticket revenue for MSP-BOS,2025-02-03 10:00:00
91,TXN-100091,Ancillary,2024-06-11,2024-06-18,2024-06-18,137.21,137.21,0.0,Point-in-time (service delivery),Ancillary service obligation,Recognized,SK657,LAS-SEA,ASC 606 - Ancillary revenue for LAS-SEA,2024-06-18 12:15:00
92,TXN-100092,Ticket,2025-04-27,2025-06-04,2025-06-04,722.72,722.72,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK609,DFW-CUN,ASC 606 - Ticket revenue for DFW-CUN,2025-06-04 12:15:00
93,TXN-100093,Ancillary,2024-08-22,2024-08-25,2024-08-25,93.99,93.99,0.0,Point-in-time (service delivery),Ancillary service obligation,Recognized,SK521,SFO-SEA,ASC 606 - Ancillary revenue for SFO-SEA,2024-08-25 08:30:00
94,TXN-100094,Ticket,2024-04-19,2024-05-17,2024-05-17,1365.57,1365.57,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK819,SAN-ORD,ASC 606 - Ticket revenue for SAN-ORD,2024-05-17 12:15:00
95,TXN-100095,Ticket,2023-01-19,2023-05-14,2023-05-14,1312.37,0.0,1312.37,Point-in-time (flight departure),Air transportation service,Deferred,SK275,NRT-LAX,ASC 606 - Ticket revenue for NRT-LAX,2023-01-19 12:15:00
96,TXN-100096,Ticket,2023-04-29,2023-06-12,2023-06-12,522.22,522.22,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK967,IAH-LAX,ASC 606 - Ticket revenue for IAH-LAX,2023-06-12 08:30:00
97,TXN-100097,Ticket,2024-08-07,2024-10-16,2024-10-16,485.48,0.0,485.48,Point-in-time (flight departure),Air transportation service,Deferred,SK997,DFW-CUN,ASC 606 - Ticket revenue for DFW-CUN,2024-08-07 08:30:00
98,TXN-100098,Cargo,2023-04-03,2023-05-12,2023-05-12,12348.33,0.0,12348.33,Point-in-time (delivery at destination),Cargo transport to destination,Deferred,SK303,SFO-SEA,ASC 606 - Cargo revenue for SFO-SEA,2023-04-03 08:30:00
99,TXN-100099,Ticket,2023-01-13,2023-05-09,2023-05-09,284.85,0.0,284.85,Point-in-time (flight departure),Air transportation service,Deferred,SK143,JFK-SFO,ASC 606 - Ticket revenue for JFK-SFO,2023-01-13 12:15:00
100,TXN-100100,Ticket,2023-12-21,2024-01-11,2024-01-11,1206.01,1206.01,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK850,CLT-MCO,ASC 606 - Ticket revenue for CLT-MCO,2024-01-11 10:00:00
101,TXN-100101,Cargo,2024-08-26,2024-09-14,2024-09-14,22127.31,22127.31,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK400,SAN-ORD,ASC 606 - Cargo revenue for SAN-ORD,2024-09-14 08:30:00
